route_id,dir_id,route_dir,route_shor,route_long,color
B100,0,B100_0,B100,Mill Basin - Midwood,B933AD
B100,1,B100_1,B100,Mill Basin - Midwood,B933AD
B103,0,B103_0,B103,Canarsie - Downtown Brooklyn Ltd,FAA61A
B103,1,B103_1,B103,Canarsie - Downtown Brooklyn Ltd,FAA61A
BX23,0,BX23_0,Bx23,Pelham Bay - Co-Op City,B933AD
BX23,1,BX23_1,Bx23,Pelham Bay - Co-Op City,B933AD
Q06,0,Q06_0,Q6,Sutphin Boulevard,B933AD
Q06,1,Q06_1,Q6,Sutphin Boulevard,B933AD
Q07,0,Q07_0,Q7,Rockaway Boulevard,6CBE45
Q07,1,Q07_1,Q7,Rockaway Boulevard,6CBE45
Q08,0,Q08_0,Q8,101St Avenue,B933AD
Q08,1,Q08_1,Q8,101St Avenue,B933AD
Q09,0,Q09_0,Q9,Lincoln Street,B933AD
Q09,1,Q09_1,Q9,Lincoln Street,B933AD
Q100,0,Q100_0,Q100,Rikers Island - Long Island City,FAA61A
Q100,1,Q100_1,Q100,Rikers Island - Long Island City,FAA61A
Q101,0,Q101_0,Q101,Steinway Street,6CBE45
Q101,1,Q101_1,Q101,Steinway Street,6CBE45
Q102,0,Q102_0,Q102,31 St - Roosevelt Island,006CB7
Q102,1,Q102_1,Q102,31 St - Roosevelt Island,006CB7
Q103,0,Q103_0,Q103,27 Ave - Borden Ave,EE352E
Q103,1,Q103_1,Q103,27 Ave - Borden Ave,EE352E
Q104,0,Q104_0,Q104,Broadway - 48 Street,B933AD
Q104,1,Q104_1,Q104,Broadway - 48 Street,B933AD
Q10,0,Q10_0,Q10,Kew Gardens - Jfk Airport,FAA61A
Q10,1,Q10_1,Q10,Kew Gardens - Jfk Airport,FAA61A
Q110,0,Q110_0,Q110,Jamaica Ave - Hempstead Ave,006CB7
Q110,1,Q110_1,Q110,Jamaica Ave - Hempstead Ave,006CB7
Q111,0,Q111_0,Q111,Guy Brewer Blvd - 147Th Ave,EE352E
Q111,1,Q111_1,Q111,Guy Brewer Blvd - 147Th Ave,EE352E
Q112,0,Q112_0,Q112,Liberty Ave,EE352E
Q112,1,Q112_1,Q112,Liberty Ave,EE352E
Q113,0,Q113_0,Q113,Guy Brewer Blvd - Nassau Expwy Ltd,EE352E
Q113,1,Q113_1,Q113,Guy Brewer Blvd - Nassau Expwy Ltd,EE352E
Q114,0,Q114_0,Q114,Guy Brewer Blvd Ltd - Rockaway Tpk,FAA61A
Q114,1,Q114_1,Q114,Guy Brewer Blvd Ltd - Rockaway Tpk,FAA61A
Q11,0,Q11_0,Q11,Woodhaven Blvd,6CBE45
Q11,1,Q11_1,Q11,Woodhaven Blvd,6CBE45
Q18,0,Q18_0,Q18,30 Ave - 58 St - 65 Pl,00AEEF
Q18,1,Q18_1,Q18,30 Ave - 58 St - 65 Pl,00AEEF
Q19,0,Q19_0,Q19,Astoria Blvd,00AEEF
Q19,1,Q19_1,Q19,Astoria Blvd,00AEEF
Q21,0,Q21_0,Q21,Cross Bay - Woodhaven Blvds,006CB7
Q21,1,Q21_1,Q21,Cross Bay - Woodhaven Blvds,006CB7
Q22,0,Q22_0,Q22,Rockaway Beach Blvd - Beach Channel Dr,EE352E
Q22,1,Q22_1,Q22,Rockaway Beach Blvd - Beach Channel Dr,EE352E
Q23,0,Q23_0,Q23,108 Street,FAA61A
Q23,1,Q23_1,Q23,108 Street,FAA61A
Q25,0,Q25_0,Q25,127 Street - Kissena Bl - Parsons Bl,00AEEF
Q25,1,Q25_1,Q25,127 Street - Kissena Bl - Parsons Bl,00AEEF
Q29,0,Q29_0,Q29,Dry Harbor Road - 80 Street,00AEEF
Q29,1,Q29_1,Q29,Dry Harbor Road - 80 Street,00AEEF
Q33,0,Q33_0,Q33,82 St/83 St - 95 St & Ditmars Blvd,EE352E
Q33,1,Q33_1,Q33,82 St/83 St - 95 St & Ditmars Blvd,EE352E
Q34,0,Q34_0,Q34,Willets Pt Bl - Kissena Bl - Parsons Bl,FAA61A
Q34,1,Q34_1,Q34,Willets Pt Bl - Kissena Bl - Parsons Bl,FAA61A
Q35,0,Q35_0,Q35,Rockaway Park - Brooklyn College,006CB7
Q35,1,Q35_1,Q35,Rockaway Park - Brooklyn College,006CB7
Q37,0,Q37_0,Q37,111Th Street,00AEEF
Q37,1,Q37_1,Q37,111Th Street,00AEEF
Q38,0,Q38_0,Q38,Eliot Ave - Penelope Ave,EE352E
Q38,1,Q38_1,Q38,Eliot Ave - Penelope Ave,EE352E
Q39,0,Q39_0,Q39,48 Ave - 58 St - Forest Ave,B933AD
Q39,1,Q39_1,Q39,48 Ave - 58 St - Forest Ave,B933AD
Q40,0,Q40_0,Q40,142Nd Street,6CBE45
Q40,1,Q40_1,Q40,142Nd Street,6CBE45
Q41,0,Q41_0,Q41,127Th Street - 109Th Avenue,B933AD
Q41,1,Q41_1,Q41,127Th Street - 109Th Avenue,B933AD
Q47,0,Q47_0,Q47,Atlas Mall - Laguardia Main Term,6CBE45
Q47,1,Q47_1,Q47,Atlas Mall - Laguardia Main Term,6CBE45
Q49,0,Q49_0,Q49,35 Ave,006CB7
Q49,1,Q49_1,Q49,35 Ave,006CB7
Q50,0,Q50_0,Q50,Co-Op City/Pelham Bay - Flushing,FAA61A
Q50,1,Q50_1,Q50,Co-Op City/Pelham Bay - Flushing,FAA61A
Q52+,0,Q52+_0,Q52-SBS,Elmhurst - Arverne,FAA61A
Q52+,1,Q52+_1,Q52-SBS,Elmhurst - Arverne,FAA61A
Q53+,0,Q53+_0,Q53-SBS,Woodside - Rockaway Park,FAA61A
Q53+,1,Q53+_1,Q53-SBS,Woodside - Rockaway Park,FAA61A
Q60,0,Q60_0,Q60,Queens Boulevard,EE352E
Q60,1,Q60_1,Q60,Queens Boulevard,EE352E
Q64,0,Q64_0,Q64,Jewel Ave,EE352E
Q64,1,Q64_1,Q64,Jewel Ave,EE352E
Q65,0,Q65_0,Q65,College Point Bl - 164 St,00AEEF
Q65,1,Q65_1,Q65,College Point Bl - 164 St,00AEEF
Q66,0,Q66_0,Q66,Northern Blvd/Queens Plaza S,EE352E
Q66,1,Q66_1,Q66,Northern Blvd/Queens Plaza S,EE352E
Q67,0,Q67_0,Q67,Borden Ave - 69 Street,FAA61A
Q67,1,Q67_1,Q67,Borden Ave - 69 Street,FAA61A
Q69,0,Q69_0,Q69,21 St - Ditmars Blvd,00AEEF
Q69,1,Q69_1,Q69,21 St - Ditmars Blvd,00AEEF
Q70+,0,Q70+_0,Q70-SBS,LaGuardia Link,EE352E
Q72,0,Q72_0,Q72,Junction Blvd - Laguardia Main Term,B933AD
Q72,1,Q72_1,Q72,Junction Blvd - Laguardia Main Term,B933AD
B11,0,B11_0,B11,Sunset Park - Midwood,006CB7
B11,1,B11_1,B11,Sunset Park - Midwood,006CB7
B12,0,B12_0,B12,Lefferts Gardens - East New York,6CBE45
B12,1,B12_1,B12,Lefferts Gardens - East New York,6CBE45
B13,0,B13_0,B13,Spring Creek - Wyckoff Hospital,FAA61A
B13,1,B13_1,B13,Spring Creek - Wyckoff Hospital,FAA61A
B14,0,B14_0,B14,Spring Creek - Crown Heights,00AEEF
B14,1,B14_1,B14,Spring Creek - Crown Heights,00AEEF
B15,0,B15_0,B15,Bedford Stuyvesant - JFK Airport,B933AD
B15,1,B15_1,B15,Bedford Stuyvesant - JFK Airport,B933AD
B16,0,B16_0,B16,Bay Ridge - Lefferts Gardens,FAA61A
B16,1,B16_1,B16,Bay Ridge - Lefferts Gardens,FAA61A
B17,0,B17_0,B17,Canarsie - Crown Heights,B933AD
B17,1,B17_1,B17,Canarsie - Crown Heights,B933AD
B1,0,B1_0,B1,Bay Ridge - Manhattan Beach,00AEEF
B1,1,B1_1,B1,Bay Ridge - Manhattan Beach,00AEEF
B20,0,B20_0,B20,Ridgewood - Spring Creek,6CBE45
B20,1,B20_1,B20,Ridgewood - Spring Creek,6CBE45
B24,0,B24_0,B24,Williamsburg - Greenpoint,FAA61A
B24,1,B24_1,B24,Williamsburg - Greenpoint,FAA61A
B25,0,B25_0,B25,Dwntn Bklyn & DUMBO - Broadway Junction,6CBE45
B25,1,B25_1,B25,Dwntn Bklyn & DUMBO - Broadway Junction,6CBE45
B26,0,B26_0,B26,Downtown Brooklyn - Ridgewood,006CB7
B26,1,B26_1,B26,Downtown Brooklyn - Ridgewood,006CB7
B2,0,B2_0,B2,Kings Hwy Station - Kings Plaza,006CB7
B2,1,B2_1,B2,Kings Hwy Station - Kings Plaza,006CB7
B31,0,B31_0,B31,Gerritsen Beach - Kings Hwy Station,FAA61A
